Title,Authors,Publisher,Publish Date,Price,Category
"Bless Me, Ultima","By Anaya, Rudolfo A.",Warner Books,"Thursday, April 1, 1999",Price Starting at $4.99, Fiction 
Earth from Above: 365 Days,"By Arthus-Bertrand, Yann, Le Bras, Herve, Avundo, Astrid, and Carruthers, Margaret",Harry N. Abrams,"Saturday, September 1, 2001",Price Starting at $8.93, Photography 
Magic: The Final Fantasy Collection,"By Asimov, Isaac",Harper Prism,"Monday, January 1, 1996",Price Starting at $5.29, Fiction 
The Big Book for Peace,"By Babbitt, Natalie and Alexander, Lloyd",Dutton Juvenile,"Saturday, September 1, 1990",Price Starting at $4.99, Juvenile Fiction 
America: Who Really Pays the Taxes?,"By Barlett, Donald L. and Steele, James B.",Simon & Schuster,"Tuesday, March 1, 1994",Price Starting at $5.29, Business & Economics 
Under Cover: The Promise of Protection Under His Authority,"By Bevere, John",Thomas Nelson,"Sunday, April 1, 2001",Price Starting at $5.29, Religion 
"Our Bodies, Ourselves: Menopause","By Boston Women's Health Book Collective and Pinn, Vivian (CON)",Atria,"Sunday, October 1, 2006",Price Starting at $4.99, Health & Fitness 
Building Your House on the Lord: A Firm Foundation for Family Life (Fisherman Bible Studyguide Series),"By Brestin, Dee and Brestin, Steve",Shaw Books,"Wednesday, March 1, 2000",Price Starting at $5.39, Religion 
Wuthering Heights,"By Bronte, Emily","Ann Arbor Media Group, LLC","Sunday, January 1, 2006",Price Starting at $4.99, Fiction 
The Airline Passenger's Guerrilla Handbook,"By Brown, George Albert",The Blake's Publishing Group,"Saturday, July 1, 1989",Price Starting at $5.29, Self-help 
"Chicken Soup for the Recovering Soul: Your Personal, Portable Support Group with Stories of Healing, Hope, Love and Resilience (Chicken Soup for the Soul)","By Canfield, Jack (COM), Hansen, Mark Victor (COM), Peluso, Theresa (COM), Seidler, Gary (COM), Ackerman, Robert J. (COM), and Vegso, Peter",HCI,"Wednesday, December 1, 2004",Price Starting at $4.99, Self-help 
Lee and Jackson,"By Casdorph, Paul D.",Laurel,"Saturday, May 1, 1993",Price Starting at $4.99, History 
Missing Persons,"By Cline, Terry",Arbor House Pub Co,"Tuesday, December 1, 1981",Price Starting at $5.29, Fiction 
The Complete Idiot's Guide to Tax Deductions,"By Collins, Lisa N.",Macmillan Distribution,"Sunday, November 1, 1998",Price Starting at $5.48, Business & Economics 
To The Storm: The Odyssey of a Revolutionary Chinese Woman,"By Daiyun, Yue and Wakeman, Carolyn",University of California Press,"Sunday, March 1, 1987",Price Starting at $4.99, Social Science 
How to Choose the Right Person for the Right Job Every Time,"By Davila, Lori and Kursmark, Louise",McGraw-Hill Education,"Sunday, August 1, 2004",Price Starting at $5.29, Business & Economics 
Pasta: Williams-Sonoma Collection,"By De Mane, Erica, Williams, Chuck (EDT), and Caruso, Maren (PHT)",Simon & Schuster,"Thursday, November 1, 2001",Price Starting at $5.64, Cooking 
Twisted,"By Deaver, Jeffery",Hodder & Stoughton Ltd,"Thursday, April 1, 2004",Price Starting at $5.58, Fiction 
Death of a Unicorn,"By Dickinson, Peter",Pantheon Books,"Saturday, December 1, 1984",Price Starting at $5.29, Fiction 
Stones for Ibarra (Contemporary American Fiction),"By Doerr, Harriet",Penguin Books,"Tuesday, January 1, 1985",Price Starting at $5.29, Fiction 
"Chlorella: The Key to Health, Vitality and Longevity","By Drucker, Mark",Health & Happiness Pub Inc,"Wednesday, May 1, 2002",Price Starting at $5.29, Medical 
High Trust Selling : Make More Money-In Less Time-With Less Stress,"By Duncan, Todd",Nelson Business,"Wednesday, January 1, 2003",Price Starting at $4.99, Business & Economics 
Glorious American Food,"By Eckerle, Tom (PHT) and Idone, Christopher",Smithmark Pub,"Wednesday, October 1, 1997",Price Starting at $8.45, Cooking 
"Going Home To Glory: A Memoir of Life with Dwight D. Eisenhower, 1961-1969","By Eisenhower, David and Eisenhower, Julie Nixon (CON)",Simon & Schuster,"Friday, October 1, 2010",Price Starting at $4.99, Biography & Autobiography 
Standing in the Rainbow: A Novel,"By Flagg, Fannie",Random House,"Thursday, August 1, 2002",Price Starting at $5.94, Fiction 
Time Train,"By Fleischman, Paul and Ewart, Claire (ILT)",HarperCollins,"Tuesday, February 1, 1994",Price Starting at $5.29, Juvenile Fiction 
The Hammer of Eden,"By Follett, Ken",Crown,"Thursday, October 1, 1998",Price Starting at $5.29, Fiction 
Move It Out!: Sharing the Mission of Christ with Zeal!,"By Forrest, Tom",Word Among Us Press,"Wednesday, September 1, 2004",Price Starting at $5.29, Religion 
The Times of My Life and My Life with the Times,"By Frankel, Max",Random House,"Monday, March 1, 1999",Price Starting at $5.29, Biography & Autobiography 
Wine into Words: A History and Bibliography of Wine Books in the English Language,"By Gabler, James M.",Bacchus Pr Ltd,"Thursday, August 1, 1985",Price Starting at $6.79, Reference 
Killing Pain Without Prescription,"By Gelb, Harold",Barnes & Noble,"Wednesday, September 1, 1982",Price Starting at $4.99, Medical 
The Kindness of Strangers,"By George, Don (EDT)",Lonely Planet,"Wednesday, October 1, 2003",Price Starting at $5.29, Travel 
What Shall I Draw (What Shall I Do Today),"By Gibson, Ray, Barlow, Amanda (ILT), and Everett, Felicity",Usborne Pub Ltd,"Sunday, December 1, 2002",Price Starting at $5.29, Juvenile Nonfiction 
High Wire: The Precarious Financial Lives of American Families,"By Gosselin, Peter",Basic Books,"Sunday, June 1, 2008",Price Starting at $5.53, Political Science 
Ruffians: A Novel,"By Green, Tim",Turner Pub,"Wednesday, September 1, 1993",Price Starting at $5.69, Fiction 
Harley Davidson: The Living Legend,"By Green, William",Gramercy,"Friday, November 1, 1991",Price Starting at $5.53, Science 
In the Garden (Andrew Lost #4),"By Greenburg, J. C.",Random House Books for Young Readers,"Tuesday, April 1, 2003",Price Starting at $5.29, Juvenile Fiction 
Riders of the Purple Sage (Dover Thrift Editions: Classic Novels),"By Grey, Zane",Dover Publications,"Sunday, September 1, 2002",Price Starting at $5.29, Fiction 
The Holocaust Chronicle: A History in Words and Pictures,"By Harran, Marilyn, Kuntz, Dieter (CON), Lemmons, Russel (CON), Michael, Robert Ashley (CON), Rickus, Keith (CON), and Roth, John K. (CON)","Publications International, Ltd.","Friday, September 1, 2000",Price Starting at $9.89, History 
Better Homes and Gardens Wood Router Techniques and Projects You Can Make,"By Heinemann, Sue (EDT)",Better Homes & Gardens Books,"Thursday, April 1, 1993",Price Starting at $4.99, Technology & Engineering 
Sexual Century: How Private Passion Became a Public Obsession,"By Hickman, Tom",Carlton Publishing Group,"Friday, October 1, 1999",Price Starting at $5.88, Social Science 
Landower Legacy,"By Holt, Victoria, Carr, Philippa, and Plaidy, Jean",Ivy Books,"Sunday, December 1, 1985",Price Starting at $5.29, Fiction 
The Ugly Guide to Being Alive and Staying That Way (Uglydolls),"By Horvath, David and Kim, Sun-min",Random House Books for Young Readers,"Thursday, January 1, 2009",Price Starting at $5.29, Juvenile Fiction 
So Loud a Silence,"By Jenkins, Lyll Becerra De",Dutton,"Tuesday, October 1, 1996",Price Starting at $5.29, Young Adult Fiction 
Star Wars : Return of the Jedi,"By Kahn, James",Random House Worlds,"Sunday, May 1, 1983",Price Starting at $5.29, Fiction 
The Good German: A Novel,"By Kanon, Joseph",Henry Holt and Co.,"Monday, October 1, 2001",Price Starting at $10.99, Fiction 
Activists beyond Borders: Advocacy Networks in International Politics,"By Keck, Margaret E. and Sikkink, Kathryn",Cornell University Press,"Wednesday, April 1, 1998",Price Starting at $5.29, Social Science 
Home of the Braves,"By Klass, David",HarperTeen,"Thursday, April 1, 2004",Price Starting at $4.99, Young Adult Fiction 
Disclosed: Inside the Palestinian Authority and the PLO,"By Kushner, Arlene",Pavilion Press,"Thursday, April 1, 2004",Price Starting at $5.29, History 
John's Story: The Last Eyewitness,"By LaHaye, Tim F. and Jenkins, Jerry B.",Putnam Praise,"Wednesday, November 1, 2006",Price Starting at $5.29, Fiction 
"The Europa Conspiracy (Babylon Rising, Book 3)","By LaHaye, Tim F. and Phillips, Bob",Bantam,"Thursday, September 1, 2005",Price Starting at $4.99, Fiction 
The Red Balloon,"By Lamorisse, Albert",Doubleday Books for Young Readers,"Tuesday, August 1, 1967",Price Starting at $4.99, Juvenile Fiction 
All I Could Get,"By Lasser, Scott",Knopf,"Friday, March 1, 2002",Price Starting at $5.29, Fiction 
"Forbidden Pleasure (Bound Hearts, Book 8)","By Leigh, Lora",St. Martin's Griffin,"Friday, June 1, 2007",Price Starting at $5.29, Fiction 
"Love, Marriage & Money: Understanding and Achieving Financial Compatibility Before-And-After-You Say ""I Do""","By Liberman, Gail and Lavine, Alan",Dearborn Trade Pub,"Friday, May 1, 1998",Price Starting at $5.42, Business & Economics 
Geographic Information Systems and Science,"By Longley, Paul, Goodchild, Michael, Maguire, David J., and Rhind, David W.",Wiley,"Tuesday, March 1, 2005",Price Starting at $7.23, Science 
When Your Child Needs a Hug (A When book),"By Losoncy, Larry",Abbey Pr,"Saturday, July 1, 1978",Price Starting at $4.99, Religion 
"Ann Lovejoy's Organic Garden Design School: A Guide for Creating Your Own Beautiful, Easy-Care Garden (A Rodale Organic Gardening Book)","By Lovejoy, Ann",Rodale Books,"Thursday, March 1, 2001",Price Starting at $17.04, Gardening 
Guide to the Battle of Gettysburg (U.S. Army War College Guides to Civil War Battles),"By Luvaas, Jay",Univ Pr of Kansas,"Tuesday, November 1, 1994",Price Starting at $5.29, History 
The Exercise High,"By Maharam, Lewis G.",Ballantine Books,"Tuesday, February 1, 1994",Price Starting at $7.17, Health & Fitness 
The Christmas Kite (Steeple Hill Women's Fiction #2),"By Martin, Gail Gaymer",Steeple Hill,"Saturday, November 1, 2003",Price Starting at $5.29, Fiction 
Cannonball Chris (Step into Reading),"By Marzollo, Jean and Sims, Blanche (ILT)",Random House Books for Young Readers,"Thursday, October 1, 1987",Price Starting at $4.99, Juvenile Fiction 
Earl Mindell's Soy Miracle Cookbook,"By Mindell, Earl",Fireside,"Sunday, October 1, 1995",Price Starting at $4.99, Cooking 
"Talking Back...To Presidents, Dictators, and Assorted Scoundrels","By Mitchell, Andrea",Viking,"Saturday, January 1, 2005",Price Starting at $4.99, Biography & Autobiography 
Tomas and the Library Lady (Dragonfly Books),"By Mora, Pat and Colon, Raul (ILT)",Dragonfly Books,"Tuesday, February 1, 2000",Price Starting at $5.29, Juvenile Nonfiction 
The Word Detective,"By Morris, Evan",Algonquin Books,"Friday, September 1, 2000",Price Starting at $4.99, Language Arts & Disciplines 
Investing Bible,"By O'Shaughnessy, Lynne",Wiley,"Saturday, September 1, 2001",Price Starting at $5.29, Business & Economics 
