Year,Facilities,Vanue,Usage,District,Remarks
2020,Activity Room,Shek Tong Tsui Sports Centre,69%,Central & Western,
2020,Activity Room,Smithfield Sports Centre,66%,Central & Western,
2020,Activity Room,Chai Wan Sports Centre,64%,Eastern,
2020,Activity Room,Island East Sports Centre,80%,Eastern,
2020,Activity Room,Java Road Sports Centre,78%,Eastern,
2020,Activity Room,Sai Wan Ho Sports Centre,73%,Eastern,
2020,Activity Room,Siu Sai Wan Sports Centre,67%,Eastern,
2020,Activity Room,Cheung Chau Sports Centre,39%,Islands,
2020,Activity Room,Mui Wo Sports Centre,36%,Islands,
2020,Activity Room,Peng Chau Sports Centre,26%,Islands,
2020,Activity Room,Praya Street Sports Centre,41%,Islands,
2020,Activity Room,Tung Chung Man Tung Road Sports Centre,75%,Islands,
2020,Activity Room,Tung Chung North Park,74%,Islands,
2020,Activity Room,Fat Kwong Street Sports Centre,56%,Kowloon City,
2020,Activity Room,Ho Man Tin Sports Centre,69%,Kowloon City,
2020,Activity Room,Hung Hom Municipal Services Building Sports Centre,78%,Kowloon City,
2020,Activity Room,Kowloon City Sports Centre,73%,Kowloon City,
2020,Activity Room,To Kwa Wan Sports Centre,60%,Kowloon City,
2020,Activity Room,Fung Shue Wo Sports Centre,61%,Kwai Tsing,
2020,Activity Room,North Kwai Chung Tang Shiu Kin Sports Centre,63%,Kwai Tsing,
2020,Activity Room,Osman Ramju Sadick Memorial Sports Centre,77%,Kwai Tsing,
2020,Activity Room,Tai Wo Hau Sports Centre,62%,Kwai Tsing,
2020,Activity Room,Tsing Yi Southwest Sports Centre,68%,Kwai Tsing,
2020,Activity Room,Tsing Yi Sports Centre,62%,Kwai Tsing,
2020,Activity Room,Chun Wah Road Sports Centre,65%,Kwun Tong,
2020,Activity Room,Hiu Kwong Street Sports Centre,60%,Kwun Tong,
2020,Activity Room,Kowloon Bay Sports Centre,68%,Kwun Tong,
2020,Activity Room,Lam Tin South Sports Centre,51%,Kwun Tong,
2020,Activity Room,Lei Yue Mun Sports Centre,54%,Kwun Tong,
2020,Activity Room,Ngau Tau Kok Road Sports Centre,77%,Kwun Tong,
2020,Activity Room,Shui Wo Street Sports Centre,67%,Kwun Tong,
2020,Activity Room,Luen Wo Hui Sports Centre,68%,North,
2020,Activity Room,Po Wing Road Sports Centre,70%,North,
2020,Activity Room,Hang Hau Sports Centre,66%,Sai Kung,
2020,Activity Room,Hong Kong Velodrome,49%,Sai Kung,
2020,Activity Room,Po Lam Sports Centre,54%,Sai Kung,
2020,Activity Room,Tiu Keng Leng Sports Centre,75%,Sai Kung,
2020,Activity Room,Tseung Kwan O Sport Centre,59%,Sai Kung,
2020,Activity Room,Tseung Kwan O Sports Ground,50%,Sai Kung,
2020,Activity Room,Tsui Lam Sports Centre,45%,Sai Kung,
2020,Activity Room,Che Kung Temple Sports Centre,67%,Sha Tin,
2020,Activity Room,Heng On Sports Centre,76%,Sha Tin,
2020,Activity Room,Hin Keng Sports Centre,70%,Sha Tin,
2020,Activity Room,Ma On Shan Sports Centre,81%,Sha Tin,
2020,Activity Room,Mei Lam Sports Centre,65%,Sha Tin,
2020,Activity Room,Yuen Chau Kok Sports Centre,78%,Sha Tin,
2020,Activity Room,Yuen Wo Road Sports Centre,71%,Sha Tin,
2020,Activity Room,Pei Ho Street Sports Centre,56%,Sham Shui Po,
2020,Activity Room,Po On Road Sports Centre,75%,Sham Shui Po,
2020,Activity Room,Shek Kip Mei Park Sports Centre,57%,Sham Shui Po,
2020,Activity Room,Tung Chau Street Park,58%,Sham Shui Po,
2020,Activity Room,Aberdeen Sports Centre,53%,Southern,
2020,Activity Room,Ap Lei Chau Sports Centre,40%,Southern,
2020,Activity Room,Stanley Sports Centre,37%,Southern,
